,pert_id,cell_iname,pert_dose_num,pert_time_num
ASG002_PC3_24H:K06,BRD-K93918653,PC3,0.1,24.0
ASG002_PC3_24H:L19,BRD-K22134346,PC3,10.0,24.0
ASG002_PC3_24H:L20,BRD-K22134346,PC3,1.0,24.0
ASG002_PC3_24H:L21,BRD-K22134346,PC3,0.1,24.0
ASG002_PC3_24H:N01,BRD-A13084692,PC3,10.0,24.0
ASG002_PC3_24H:N02,BRD-A13084692,PC3,1.0,24.0
ASG002_PC3_24H:N03,BRD-A13084692,PC3,0.1,24.0
ASG002_PC3_24H:N19,BRD-K77625799,PC3,10.0,24.0
ASG002_PC3_24H:N20,BRD-K77625799,PC3,1.0,24.0
ASG002_PC3_24H:N21,BRD-K77625799,PC3,0.1,24.0
ASG003_A549_24H:B04,BRD-K52233191,A549,10.0,24.0
ASG003_A549_24H:B05,BRD-K52233191,A549,1.0,24.0
ASG003_A549_24H:B06,BRD-K52233191,A549,0.1,24.0
ASG003_A549_24H:C13,BRD-K64052750,A549,10.0,24.0
ASG003_A549_24H:C14,BRD-K64052750,A549,1.0,24.0
ASG003_A549_24H:C15,BRD-K64052750,A549,0.1,24.0
ASG003_A549_24H:D04,BRD-K64890080,A549,10.0,24.0
ASG003_A549_24H:D05,BRD-K64890080,A549,1.0,24.0
ASG003_A549_24H:D06,BRD-K64890080,A549,0.1,24.0
ASG003_A549_24H:D13,BRD-K89162000,A549,10.0,24.0
ASG003_A549_24H:D14,BRD-K89162000,A549,1.0,24.0
ASG003_A549_24H:D15,BRD-K89162000,A549,0.1,24.0
ASG003_A549_24H:F01,BRD-K62391742,A549,10.0,24.0
ASG003_A549_24H:F02,BRD-K62391742,A549,1.0,24.0
ASG003_A549_24H:F03,BRD-K62391742,A549,0.1,24.0
ASG003_A549_24H:F04,BRD-K81418486,A549,10.0,24.0
ASG003_A549_24H:F05,BRD-K81418486,A549,1.0,24.0
ASG003_A549_24H:F06,BRD-K81418486,A549,0.1,24.0
ASG003_A549_24H:F10,BRD-K93918653,A549,10.0,24.0
ASG003_A549_24H:F11,BRD-K93918653,A549,1.0,24.0
ASG003_A549_24H:F12,BRD-K93918653,A549,0.1,24.0
ASG003_A549_24H:H04,BRD-A13084692,A549,10.0,24.0
ASG003_A549_24H:H05,BRD-A13084692,A549,1.0,24.0
ASG003_A549_24H:H06,BRD-A13084692,A549,0.1,24.0
ASG003_A549_24H:J16,BRD-K22134346,A549,10.0,24.0
ASG003_A549_24H:J17,BRD-K22134346,A549,1.0,24.0
ASG003_A549_24H:J18,BRD-K22134346,A549,0.1,24.0
ASG003_A549_24H:J19,BRD-K87909389,A549,10.0,24.0
ASG003_A549_24H:J20,BRD-K87909389,A549,1.0,24.0
ASG003_A549_24H:J21,BRD-K87909389,A549,0.1,24.0
ASG003_A549_24H:K22,BRD-K20285085,A549,10.0,24.0
ASG003_A549_24H:K23,BRD-K20285085,A549,1.0,24.0
ASG003_A549_24H:K24,BRD-K20285085,A549,0.1,24.0
ASG003_A549_24H:L07,BRD-K07691486,A549,10.0,24.0
ASG003_A549_24H:L08,BRD-K07691486,A549,1.0,24.0
ASG003_A549_24H:L09,BRD-K07691486,A549,0.1,24.0
ASG003_A549_24H:N22,BRD-K77625799,A549,10.0,24.0
ASG003_A549_24H:N23,BRD-K77625799,A549,1.0,24.0
ASG003_A549_24H:N24,BRD-K77625799,A549,0.1,24.0
ASG003_A549_24H:P22,BRD-K71035033,A549,10.0,24.0
ASG003_A549_24H:P23,BRD-K71035033,A549,1.0,24.0
ASG003_A549_24H:P24,BRD-K71035033,A549,0.1,24.0
ASG003_MCF7_24H:B04,BRD-K52233191,MCF7,10.0,24.0
ASG003_MCF7_24H:B05,BRD-K52233191,MCF7,1.0,24.0
ASG003_MCF7_24H:B06,BRD-K52233191,MCF7,0.1,24.0
ASG003_MCF7_24H:C13,BRD-K64052750,MCF7,10.0,24.0
ASG003_MCF7_24H:C14,BRD-K64052750,MCF7,1.0,24.0
ASG003_MCF7_24H:C15,BRD-K64052750,MCF7,0.1,24.0
ASG003_MCF7_24H:D04,BRD-K64890080,MCF7,10.0,24.0
ASG003_MCF7_24H:D05,BRD-K64890080,MCF7,1.0,24.0
ASG003_MCF7_24H:D06,BRD-K64890080,MCF7,0.1,24.0
ASG003_MCF7_24H:D13,BRD-K89162000,MCF7,10.0,24.0
ASG003_MCF7_24H:D14,BRD-K89162000,MCF7,1.0,24.0
ASG003_MCF7_24H:D15,BRD-K89162000,MCF7,0.1,24.0
ASG003_MCF7_24H:F01,BRD-K62391742,MCF7,10.0,24.0
ASG003_MCF7_24H:F02,BRD-K62391742,MCF7,1.0,24.0
ASG003_MCF7_24H:F03,BRD-K62391742,MCF7,0.1,24.0
ASG003_MCF7_24H:F04,BRD-K81418486,MCF7,10.0,24.0
ASG003_MCF7_24H:F05,BRD-K81418486,MCF7,1.0,24.0
ASG003_MCF7_24H:F06,BRD-K81418486,MCF7,0.1,24.0
ASG003_MCF7_24H:F10,BRD-K93918653,MCF7,10.0,24.0
ASG003_MCF7_24H:F11,BRD-K93918653,MCF7,1.0,24.0
ASG003_MCF7_24H:F12,BRD-K93918653,MCF7,0.1,24.0
ASG003_MCF7_24H:H04,BRD-A13084692,MCF7,10.0,24.0
ASG003_MCF7_24H:H05,BRD-A13084692,MCF7,1.0,24.0
ASG003_MCF7_24H:H06,BRD-A13084692,MCF7,0.1,24.0
ASG003_MCF7_24H:J16,BRD-K22134346,MCF7,10.0,24.0
ASG003_MCF7_24H:J17,BRD-K22134346,MCF7,1.0,24.0
ASG003_MCF7_24H:J18,BRD-K22134346,MCF7,0.1,24.0
ASG003_MCF7_24H:J19,BRD-K87909389,MCF7,10.0,24.0
ASG003_MCF7_24H:J20,BRD-K87909389,MCF7,1.0,24.0
ASG003_MCF7_24H:J21,BRD-K87909389,MCF7,0.1,24.0
ASG003_MCF7_24H:K22,BRD-K20285085,MCF7,10.0,24.0
ASG003_MCF7_24H:K23,BRD-K20285085,MCF7,1.0,24.0
ASG003_MCF7_24H:K24,BRD-K20285085,MCF7,0.1,24.0
ASG003_MCF7_24H:L07,BRD-K07691486,MCF7,10.0,24.0
ASG003_MCF7_24H:L08,BRD-K07691486,MCF7,1.0,24.0
ASG003_MCF7_24H:L09,BRD-K07691486,MCF7,0.1,24.0
ASG003_MCF7_24H:N22,BRD-K77625799,MCF7,10.0,24.0
ASG003_MCF7_24H:N23,BRD-K77625799,MCF7,1.0,24.0
ASG003_MCF7_24H:N24,BRD-K77625799,MCF7,0.1,24.0
ASG003_MCF7_24H:P22,BRD-K71035033,MCF7,10.0,24.0
ASG003_MCF7_24H:P23,BRD-K71035033,MCF7,1.0,24.0
ASG003_MCF7_24H:P24,BRD-K71035033,MCF7,0.1,24.0
CPC001_PC3_24H:B04,BRD-K81418486,PC3,10.0,24.0
CPC001_PC3_24H:E08,BRD-K67277431,PC3,10.0,24.0
CPC001_PC3_24H:I12,BRD-K62310379,PC3,10.0,24.0
CPC002_PC3_24H:BRD-A97437073-001-04-9:10,BRD-A97437073,PC3,10.0,24.0
CPC002_PC3_24H:BRD-K07691486-001-04-9:10,BRD-K07691486,PC3,10.0,24.0
CPC002_PC3_24H:BRD-K13646352-001-01-2:10,BRD-K13646352,PC3,10.0,24.0
CPC002_PC3_24H:BRD-K81418486:10,BRD-K81418486,PC3,10.0,24.0
CPC003_PC3_24H:BRD-A68009927-003-02-9:10,BRD-A68009927,PC3,10.0,24.0
CPC003_PC3_24H:BRD-A75172220-001-03-2:10,BRD-A75172220,PC3,10.0,24.0
CPC003_PC3_24H:BRD-K63504947-001-05-5:10,BRD-K63504947,PC3,10.0,24.0
CPC003_PC3_24H:BRD-K77771411-003-03-2:10,BRD-K77771411,PC3,10.0,24.0
CPC003_PC3_24H:BRD-K81418486:10,BRD-K81418486,PC3,10.0,24.0
CPC004_PC3_24H:BRD-A84174393-236-03-0:10,BRD-A84174393,PC3,10.0,24.0
CPC004_PC3_24H:BRD-K02637541-001-06-5:10,BRD-K02637541,PC3,10.0,24.0
CPC004_PC3_24H:BRD-K22134346-001-11-6:10,BRD-K22134346,PC3,10.0,24.0
CPC004_PC3_24H:BRD-K81418486:10,BRD-K81418486,PC3,10.0,24.0
CPC005_A549_24H:BRD-K81418486:10,BRD-K81418486,A549,10.0,24.0
CPC005_MCF7_24H:BRD-K81418486:10,BRD-K81418486,MCF7,10.0,24.0
CPC005_PC3_24H:BRD-K81418486:10,BRD-K81418486,PC3,10.0,24.0
CPC006_A549_24H:BRD-A13084692-001-04-1:10,BRD-A13084692,A549,10.0,24.0
CPC006_A549_24H:BRD-A97437073-001-03-1:80,BRD-A97437073,A549,80.0,24.0
CPC006_A549_24H:BRD-K12994359-001-07-7:177.6,BRD-K12994359,A549,177.6,24.0
CPC006_A549_24H:BRD-K20285085-001-01-4:10,BRD-K20285085,A549,10.0,24.0
CPC006_A549_24H:BRD-K22134346-001-09-0:10,BRD-K22134346,A549,10.0,24.0
CPC006_A549_24H:BRD-K64890080-001-03-9:10,BRD-K64890080,A549,10.0,24.0
CPC006_A549_24H:BRD-K81418486-001-13-7:11.1,BRD-K81418486,A549,11.1,24.0
CPC006_A549_24H:BRD-K81418486:10,BRD-K81418486,A549,10.0,24.0
CPC006_A549_24H:BRD-K82746043-001-03-7:10,BRD-K82746043,A549,10.0,24.0
CPC006_A549_24H:BRD-K85606544-001-01-8:10,BRD-K85606544,A549,10.0,24.0
CPC006_MCF7_24H:B04,BRD-K81418486,MCF7,10.0,24.0
CPC006_MCF7_24H:B12,BRD-A97437073,MCF7,80.0,24.0
CPC006_MCF7_24H:G13,BRD-K22134346,MCF7,10.0,24.0
CPC006_MCF7_24H:H02,BRD-K12994359,MCF7,177.6,24.0
CPC006_MCF7_24H:H17,BRD-K64890080,MCF7,10.0,24.0
CPC006_MCF7_24H:I04,BRD-K82746043,MCF7,10.0,24.0
CPC006_MCF7_24H:I12,BRD-A13084692,MCF7,10.0,24.0
CPC006_MCF7_24H:J17,BRD-K81418486,MCF7,11.1,24.0
CPC006_MCF7_24H:J21,BRD-K85606544,MCF7,10.0,24.0
CPC006_MCF7_24H:P07,BRD-K20285085,MCF7,10.0,24.0
CPC006_PC3_24H:B04,BRD-K81418486,PC3,10.0,24.0
CPC006_PC3_24H:B12,BRD-A97437073,PC3,80.0,24.0
CPC006_PC3_24H:G13,BRD-K22134346,PC3,10.0,24.0
CPC006_PC3_24H:H02,BRD-K12994359,PC3,177.6,24.0
CPC006_PC3_24H:H17,BRD-K64890080,PC3,10.0,24.0
CPC006_PC3_24H:I04,BRD-K82746043,PC3,10.0,24.0
CPC006_PC3_24H:I12,BRD-A13084692,PC3,10.0,24.0
CPC006_PC3_24H:J17,BRD-K81418486,PC3,11.1,24.0
CPC006_PC3_24H:J21,BRD-K85606544,PC3,10.0,24.0
CPC006_PC3_24H:P07,BRD-K20285085,PC3,10.0,24.0
CPC007_A549_24H:BRD-K81418486-001-21-0:10,BRD-K81418486,A549,10.0,24.0
CPC007_A549_24H:BRD-K81418486:10,BRD-K81418486,A549,10.0,24.0
CPC007_MCF7_24H:BRD-K81418486-001-21-0:10,BRD-K81418486,MCF7,10.0,24.0
CPC007_MCF7_24H:BRD-K81418486:10,BRD-K81418486,MCF7,10.0,24.0
CPC007_PC3_24H:BRD-K81418486-001-21-0:10,BRD-K81418486,PC3,10.0,24.0
CPC007_PC3_24H:BRD-K81418486:10,BRD-K81418486,PC3,10.0,24.0
CPC008_MCF7_24H:BRD-K81418486:10,BRD-K81418486,MCF7,10.0,24.0
CPC008_PC3_24H:BRD-K81418486:10,BRD-K81418486,PC3,10.0,24.0
CPC009_A549_24H:BRD-A68009927-001-02-3:10,BRD-A68009927,A549,10.0,24.0
CPC009_A549_24H:BRD-A84174393-001-28-5:10,BRD-A84174393,A549,10.0,24.0
CPC009_A549_24H:BRD-K02637541-001-12-3:10,BRD-K02637541,A549,10.0,24.0
CPC009_A549_24H:BRD-K81418486:10,BRD-K81418486,A549,10.0,24.0
CPC009_MCF7_24H:BRD-A68009927-001-02-3:10,BRD-A68009927,MCF7,10.0,24.0
CPC009_MCF7_24H:BRD-A84174393-001-28-5:10,BRD-A84174393,MCF7,10.0,24.0
CPC009_MCF7_24H:BRD-K02637541-001-12-3:10,BRD-K02637541,MCF7,10.0,24.0
CPC009_MCF7_24H:BRD-K81418486:10,BRD-K81418486,MCF7,10.0,24.0
CPC009_PC3_24H:BRD-A68009927-001-02-3:10,BRD-A68009927,PC3,10.0,24.0
CPC009_PC3_24H:BRD-A84174393-001-28-5:10,BRD-A84174393,PC3,10.0,24.0
CPC009_PC3_24H:BRD-K02637541-001-12-3:10,BRD-K02637541,PC3,10.0,24.0
CPC009_PC3_24H:BRD-K81418486:10,BRD-K81418486,PC3,10.0,24.0
CPC010_A549_24H:BRD-K81418486:10,BRD-K81418486,A549,10.0,24.0
CPC010_MCF7_24H:BRD-K81418486:10,BRD-K81418486,MCF7,10.0,24.0
CPC010_PC3_24H:BRD-K81418486:10,BRD-K81418486,PC3,10.0,24.0
CPC011_A549_24H:BRD-A97437073-003-09-4:10,BRD-A97437073,A549,10.0,24.0
CPC011_A549_24H:BRD-A97437073-050-08-7:10,BRD-A97437073,A549,10.0,24.0
CPC011_A549_24H:BRD-K12994359-001-12-7:10,BRD-K12994359,A549,10.0,24.0
CPC011_A549_24H:BRD-K62310379-001-08-9:10,BRD-K62310379,A549,10.0,24.0
CPC011_A549_24H:BRD-K77771411-003-08-1:10,BRD-K77771411,A549,10.0,24.0
